Nama Produk,SKU Induk,Bulan,Tahun,Total_Terjual,Total_Transaksi,Rata_Harga,Total_Diskon,Ada_Event,Lag_1,Lag_2,Rolling_Mean_3,Produk_Encoded,Lag_3,Rolling_Mean_6,Tren,Kategori,Kategori_Encoded
Blouse Wanita Casual Elegan,BLO-006,1,2024,6.0,2.0,157150.0,297600.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Blouse,0
Blouse Wanita Casual Elegan,BLO-006,2,2024,5.0,2.0,184650.0,85800.0,1.0,6.0,0.0,6.0,0,0.0,6.0,6.0,Blouse,0
Blouse Wanita Casual Elegan,BLO-006,3,2024,1.0,1.0,135500.0,68500.0,0.0,5.0,6.0,5.5,0,0.0,5.5,-1.0,Blouse,0
Blouse Wanita Casual Elegan,BLO-006,4,2024,3.0,1.0,134800.0,207600.0,0.0,1.0,5.0,4.0,0,6.0,4.0,-4.0,Blouse,0
Blouse Wanita Casual Elegan,BLO-006,5,2024,5.0,2.0,170850.0,157800.0,1.0,3.0,1.0,3.0,0,5.0,3.75,2.0,Blouse,0
Blouse Wanita Casual Elegan,BLO-006,6,2024,7.0,2.0,163100.0,262900.0,1.0,5.0,3.0,3.0,0,1.0,4.0,2.0,Blouse,0
Blouse Wanita Casual Elegan,BLO-006,7,2024,7.0,2.0,164200.0,304300.0,1.0,7.0,5.0,5.0,0,3.0,4.5,2.0,Blouse,0
Blouse Wanita Casual Elegan,BLO-006,8,2024,6.0,2.0,158150.0,226800.0,0.0,7.0,7.0,6.333333333333333,0,5.0,4.666666666666667,0.0,Blouse,0
Blouse Wanita Casual Elegan,BLO-006,9,2024,0.0,0.0,158568.18181818182,0.0,0.0,6.0,7.0,6.666666666666667,0,7.0,4.833333333333333,-1.0,Blouse,0
Blouse Wanita Casual Elegan,BLO-006,10,2024,5.0,1.0,145700.0,291500.0,0.0,0.0,6.0,4.333333333333333,0,7.0,4.666666666666667,-6.0,Blouse,0
Blouse Wanita Casual Elegan,BLO-006,11,2024,2.0,2.0,156650.0,94700.0,1.0,5.0,0.0,3.6666666666666665,0,6.0,5.0,5.0,Blouse,0
Blouse Wanita Casual Elegan,BLO-006,12,2024,3.0,1.0,173500.0,91500.0,0.0,2.0,5.0,2.3333333333333335,0,0.0,4.5,-3.0,Blouse,0
Blouse Wanita Kekinian Import,BLO-004,1,2024,2.0,1.0,244200.0,303600.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,Blouse,0
Blouse Wanita Kekinian Import,BLO-004,2,2024,0.0,0.0,291295.8333333333,0.0,0.0,2.0,0.0,2.0,1,0.0,2.0,2.0,Blouse,0
Blouse Wanita Kekinian Import,BLO-004,3,2024,6.0,2.0,267200.0,888800.0,1.0,0.0,2.0,1.0,1,0.0,1.0,-2.0,Blouse,0
Blouse Wanita Kekinian Import,BLO-004,4,2024,3.0,1.0,326100.0,209700.0,0.0,6.0,0.0,2.6666666666666665,1,2.0,2.6666666666666665,6.0,Blouse,0
Blouse Wanita Kekinian Import,BLO-004,5,2024,2.0,1.0,296100.0,199800.0,0.0,3.0,6.0,3.0,1,0.0,2.75,-3.0,Blouse,0
